Timestamp            Max Diff (ms) Port 50038      Port 50039      Port 50040      Port 50041      Port 50042      Port 50043      Port 50044      Port 50045      Port 50046      Port 50047      Port 50048      Port 50049     
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
17:14:01.373         1.0          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.393         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:01.424         1.0          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.452         1.0          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms         
17:14:01.474         2.0          +0.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +2.0ms          +0.0ms          +2.0ms          +2.0ms         
17:14:01.501         1.0          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.520         1.0          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.541         2.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +2.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +2.0ms          +0.0ms         
17:14:01.562         1.0          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.594         1.0          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:01.622         2.0          +0.0ms          +1.0ms          +2.0ms          +1.0ms          +2.0ms          +1.0ms          +1.0ms          +1.0ms          +2.0ms          +1.0ms          +2.0ms          +1.0ms         
17:14:01.652         1.0          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.664         2.0          +2.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +2.0ms          +1.0ms          +2.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.682         1.0          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms         
17:14:01.702         1.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:01.722         1.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.752         1.0          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.763         2.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +2.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +2.0ms          +0.0ms          +2.0ms         
17:14:01.782         1.0          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms         
17:14:01.802         1.0          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.821         1.0          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.841         1.0          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:01.854         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:01.874         1.0          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms         
17:14:01.901         1.0          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:01.921         1.0          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms         
17:14:01.942         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:01.963         1.0          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms         
17:14:01.991         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:02.011         1.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:02.033         1.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms         
17:14:02.062         1.0          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.091         2.0          +2.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +2.0ms          +1.0ms          +1.0ms          +1.0ms          +2.0ms         
17:14:02.113         1.0          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.142         1.0          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms         
17:14:02.162         1.0          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.193         2.0          +1.0ms          +1.0ms          +1.0ms          +2.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.222         1.0          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms         
17:14:02.241         1.0          +1.0ms          +0.0ms          +0.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms         
17:14:02.261         1.0          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.291         1.0          +0.0ms          +1.0ms          +0.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.311         1.0          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.332         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:02.362         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
17:14:02.375         1.0          +1.0ms          +1.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +0.0ms          +1.0ms          +1.0ms          +1.0ms          +1.0ms         
17:14:02.393         0.0          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms          +0.0ms         
